,x,y,z
1191527,320140.0,6397926.0,56.8455
1191528,320141.0,6397926.5,57.055
1191529,320140.0,6397927.5,56.9203
1191530,320142.0,6397922.5,57.0401
1191531,320142.0,6397921.0,56.9652
1191532,320143.0,6397921.5,57.1747
1191533,320144.0,6397920.5,57.3094
1191534,320144.0,6397919.0,57.2346
1191535,320145.0,6397919.5,57.444
1191536,320144.0,6397922.0,57.3842
1191537,320145.0,6397922.5,57.5937
1191538,320144.0,6397923.5,57.459
1191539,320144.0,6397925.0,57.5338
1191540,320145.0,6397925.5,57.7433
1191541,320144.0,6397926.5,57.6086
1191542,320144.0,6397928.0,57.6834
1191543,320145.0,6397928.5,57.8929
1191544,320144.0,6397929.5,57.7582
1191545,320143.0,6397927.5,57.4739
1191546,320142.0,6397928.5,57.3393
1191547,320142.0,6397927.0,57.2645
1191548,320142.0,6397924.0,57.1149
1191549,320143.0,6397924.5,57.3243
1191550,320142.0,6397925.5,57.1897
1191551,320146.0,6397918.5,57.5787
1191552,320146.0,6397917.0,57.5039
1191553,320147.0,6397917.5,57.7133
1191554,320148.0,6397916.5,57.848
1191555,320148.0,6397915.0,57.7732
1191557,320148.0,6397918.0,57.9228
1191559,320148.0,6397919.5,57.9976
1191600,320148.0,6397931.5,58.5961
1191601,320148.0,6397930.0,58.5213
1191602,320147.0,6397929.5,58.3119
1191603,320146.0,6397930.5,58.1772
1191604,320146.0,6397929.0,58.1024
1191605,320148.0,6397928.5,58.4465
1191606,320148.0,6397927.0,58.3717
1191611,320146.0,6397920.0,57.6535
1191612,320147.0,6397920.5,57.863
1191613,320148.0,6397921.0,58.0724
1191614,320146.0,6397921.5,57.7283
1191615,320146.0,6397923.0,57.8031
1191621,320148.0,6397925.5,58.2969
1191622,320147.0,6397926.5,58.1623
1191623,320146.0,6397927.5,58.0276
1191624,320146.0,6397926.0,57.9528
1191625,320146.0,6397924.5,57.878
1191626,320148.0,6397922.5,58.1473
1191627,320148.0,6397924.0,58.2221
1191628,320147.0,6397923.5,58.0126
1191629,320137.5,6397928.0,56.56
1191630,320138.5,6397928.5,56.7694
1191631,320139.5,6397929.0,56.9789
1191632,320137.0,6397929.5,56.6185
1191633,320136.5,6397931.0,56.6771
1191634,320140.5,6397929.5,57.1884
1191635,320141.5,6397930.0,57.3979
1191636,320142.5,6397930.5,57.6073
1191637,320143.5,6397931.0,57.8168
1191638,320141.0,6397931.5,57.4564
1191639,320140.5,6397933.0,57.515
1191640,320139.5,6397932.5,57.3055
1191641,320138.0,6397933.5,57.1546
1191642,320137.5,6397935.0,57.2132
1191643,320136.5,6397934.5,57.0037
1191644,320135.0,6397935.5,56.8528
1191645,320134.5,6397937.0,56.9114
1191646,320135.5,6397934.0,56.7943
1191647,320136.0,6397932.5,56.7357
1191648,320139.0,6397930.5,57.0375
1191649,320138.5,6397932.0,57.0961
1191650,320137.5,6397931.5,56.8866
1191651,320144.5,6397931.5,58.0263
1191652,320145.5,6397932.0,58.2357
1191653,320146.5,6397932.5,58.4452
1191654,320147.5,6397933.0,58.6547
1191655,320145.0,6397933.5,58.2943
1191656,320144.5,6397935.0,58.3529
1191657,320143.5,6397934.5,58.1434
1191658,320148.5,6397933.5,58.8642
1191663,320148.5,6397937.0,59.1908
1191664,320147.5,6397936.5,58.9813
1191665,320146.0,6397937.5,58.8304
1191666,320145.5,6397939.0,58.889
1191667,320144.5,6397938.5,58.6796
1191668,320143.0,6397939.5,58.5287
1191669,320142.5,6397941.0,58.5873
1191670,320141.5,6397940.5,58.3778
1191671,320143.5,6397938.0,58.4701
1191672,320142.5,6397937.5,58.2606
1191673,320144.0,6397936.5,58.4115
1191674,320147.0,6397934.5,58.7133
1191675,320146.5,6397936.0,58.7719
1191676,320145.5,6397935.5,58.5624
1191677,320140.0,6397941.5,58.2269
1191678,320139.5,6397943.0,58.2855
1191679,320138.5,6397942.5,58.076
1191680,320137.0,6397943.5,57.9251
1191681,320136.5,6397945.0,57.9837
1191682,320135.5,6397944.5,57.7742
1191683,320137.5,6397942.0,57.8665
1191684,320136.5,6397941.5,57.657
1191685,320138.0,6397940.5,57.8079
1191686,320134.0,6397945.5,57.6233
1191687,320133.5,6397947.0,57.6819
1191688,320132.5,6397946.5,57.4724
1191689,320131.0,6397947.5,57.3215
1191690,320130.5,6397949.0,57.3801
1191691,320131.5,6397946.0,57.2629
1191692,320132.0,6397944.5,57.2044
1191693,320132.5,6397943.0,57.1458
1191694,320133.0,6397941.5,57.0872
1191695,320133.5,6397940.0,57.0286
1191696,320134.0,6397938.5,56.97
1191697,320134.5,6397940.5,57.2381
1191698,320136.0,6397939.5,57.3889
1191699,320135.5,6397941.0,57.4475
1191700,320134.5,6397944.0,57.5647
1191701,320133.5,6397943.5,57.3552
1191702,320135.0,6397942.5,57.5061
1191703,320143.0,6397932.5,57.8754
1191704,320142.5,6397934.0,57.934
1191705,320142.0,6397935.5,57.9925
1191706,320141.5,6397933.5,57.7245
1191707,320140.0,6397934.5,57.5736
1191708,320141.5,6397937.0,58.0511
1191709,320141.0,6397938.5,58.1097
1191710,320140.5,6397940.0,58.1683
1191711,320139.5,6397939.5,57.9588
1191712,320138.5,6397939.0,57.7493
1191713,320137.5,6397938.5,57.5398
1191714,320136.5,6397938.0,57.3304
1191715,320135.5,6397937.5,57.1209
1191716,320137.0,6397936.5,57.2718
1191717,320138.5,6397935.5,57.4227
1191718,320140.5,6397936.5,57.8416
1191719,320139.0,6397937.5,57.6907
1191720,320139.5,6397936.0,57.6321
1191721,320138.5,6397922.5,56.5093
1191722,320139.0,6397920.0,56.5919
1191723,320139.5,6397917.5,56.6746
1191724,320139.5,6397921.5,56.6439
1191725,320140.5,6397920.5,56.7786
1191726,320140.0,6397915.0,56.7573
1191727,320140.5,6397912.5,56.84
1191728,320141.0,6397910.0,56.9227
1191729,320141.5,6397907.5,57.0054
1191730,320141.5,6397911.5,56.9747
1191731,320142.5,6397910.5,57.1093
1191732,320142.0,6397913.0,57.0266
1191733,320142.5,6397914.5,57.0786
1191734,320143.5,6397913.5,57.2133
1191735,320143.0,6397916.0,57.1306
1191736,320143.5,6397917.5,57.1826
1191737,320144.5,6397916.5,57.3172
1191738,320142.5,6397918.5,57.0479
1191739,320141.5,6397919.5,56.9133
1191740,320140.5,6397916.5,56.8093
1191741,320141.5,6397915.5,56.944
1191742,320141.0,6397918.0,56.8613
1191743,320142.0,6397905.0,57.0881
1191744,320142.5,6397902.5,57.1708
1191745,320143.0,6397900.0,57.2535
1191746,320143.5,6397897.5,57.3362
1191747,320143.5,6397901.5,57.3055
1191748,320144.5,6397900.5,57.4401
1191749,320144.0,6397903.0,57.3574
1191750,320144.0,6397895.0,57.4188
1191751,320144.5,6397892.5,57.5015
1191752,320145.0,6397890.0,57.5842
1191753,320145.5,6397887.5,57.6669
1191754,320145.5,6397891.5,57.6362
1191755,320146.5,6397890.5,57.7708
1191756,320146.0,6397893.0,57.6881
1191757,320146.5,6397894.5,57.7401
1191758,320147.5,6397893.5,57.8748
1191759,320147.0,6397896.0,57.7921
1191760,320147.5,6397897.5,57.8441
1191761,320148.5,6397896.5,57.9788
1191762,320148.0,6397899.0,57.8961
1191763,320146.5,6397898.5,57.7094
1191764,320146.0,6397901.0,57.6268
1191765,320145.5,6397899.5,57.5748
1191766,320144.5,6397896.5,57.4708
1191767,320145.5,6397895.5,57.6055
1191768,320145.0,6397898.0,57.5228
1191769,320148.5,6397900.5,57.9481
1191775,320148.5,6397904.5,57.9174
1191776,320148.0,6397907.0,57.8347
1191777,320147.5,6397905.5,57.7827
1191785,320148.5,6397912.5,57.8559
1191786,320147.5,6397913.5,57.7213
1191787,320146.5,6397914.5,57.5866
1191788,320145.5,6397915.5,57.4519
1191789,320147.0,6397912.0,57.6693
1191790,320146.5,6397910.5,57.6173
1191791,320147.5,6397909.5,57.752
1191794,320148.5,6397908.5,57.8867
1191795,320142.5,6397906.5,57.14
1191796,320143.5,6397905.5,57.2747
1191797,320144.5,6397904.5,57.4094
1191798,320143.0,6397908.0,57.192
1191799,320143.5,6397909.5,57.244
1191800,320145.5,6397903.5,57.5441
1191801,320146.5,6397902.5,57.6787
1191802,320147.5,6397901.5,57.8134
1191803,320147.0,6397904.0,57.7307
1191804,320146.5,6397906.5,57.648
1191805,320146.0,6397909.0,57.5653
1191806,320145.5,6397911.5,57.4826
1191807,320145.0,6397914.0,57.3999
1191808,320144.5,6397912.5,57.3479
1191809,320144.0,6397911.0,57.296
1191810,320145.0,6397906.0,57.4614
1191811,320145.5,6397907.5,57.5134
1191812,320144.5,6397908.5,57.3787
1191840,320148.5,6397895.5,57.9571
1191841,320148.0,6397894.0,57.9051
1191842,320147.5,6397892.5,57.8531
1191843,320148.5,6397894.5,57.9354
1191844,320148.5,6397893.5,57.9137
1191846,320147.0,6397891.0,57.8011
1191847,320146.5,6397889.5,57.7491
1191848,320146.0,6397888.0,57.6972
1191849,320146.5,6397888.5,57.7274
1191850,320147.0,6397889.0,57.7577
1191851,320147.5,6397889.5,57.788
1191852,320148.0,6397890.0,57.8183
1191853,320148.5,6397890.5,57.8486
1191855,320148.5,6397891.5,57.8703
1191857,320148.5,6397892.5,57.892
1191858,320147.5,6397891.5,57.8314
1191859,320147.5,6397890.5,57.8097
1191860,320148.0,6397892.0,57.8617
1191905,320146.0,6398155.0,70.6441
1191906,320145.0,6398154.0,70.5208
1191907,320144.0,6398153.0,70.3976
1191908,320143.0,6398152.0,70.2744
1191909,320146.0,6398151.0,70.284
1191910,320147.0,6398148.0,70.0472
1191911,320148.0,6398149.0,70.1704
1191912,320142.0,6398151.0,70.1512
1191913,320141.0,6398150.0,70.028
1191914,320140.0,6398149.0,69.9047
1191915,320139.0,6398148.0,69.7815
1191916,320142.0,6398147.0,69.7911
1191917,320143.0,6398144.0,69.5543
1191918,320144.0,6398145.0,69.6775
1191919,320146.0,6398143.0,69.5639
1191920,320147.0,6398140.0,69.3271
1191921,320148.0,6398141.0,69.4503
1191927,320148.0,6398145.0,69.8104
1191928,320144.0,6398149.0,70.0376
1191929,320145.0,6398146.0,69.8008
1191930,320146.0,6398147.0,69.924
1191931,320138.0,6398147.0,69.6583
1191932,320137.0,6398146.0,69.535
1191933,320136.0,6398145.0,69.4118
1191934,320135.0,6398144.0,69.2886
1191935,320138.0,6398143.0,69.2982
1191936,320139.0,6398140.0,69.0614
1191937,320140.0,6398141.0,69.1846
1191938,320134.0,6398143.0,69.1654
1191939,320133.0,6398142.0,69.0422
1191940,320132.0,6398141.0,68.919
1191941,320134.0,6398139.0,68.8054
1191942,320136.0,6398137.0,68.6918
1191943,320138.0,6398135.0,68.5782
1191944,320140.0,6398133.0,68.4646
1191945,320142.0,6398131.0,68.351
1191946,320144.0,6398129.0,68.2374
1191947,320141.0,6398134.0,68.5878
1191948,320142.0,6398135.0,68.711
1191949,320140.0,6398137.0,68.8246
1191950,320136.0,6398141.0,69.0518
1191951,320137.0,6398138.0,68.815
1191952,320138.0,6398139.0,68.9382
1191953,320146.0,6398127.0,68.1238
1191954,320148.0,6398125.0,68.0102
1191959,320148.0,6398129.0,68.3703
1191979,320140.0,6398145.0,69.5447
1191980,320141.0,6398142.0,69.3078
1191981,320142.0,6398139.0,69.071
1191982,320142.0,6398143.0,69.4311
1191983,320144.0,6398141.0,69.3175
1191984,320143.0,6398136.0,68.8342
1191985,320144.0,6398133.0,68.5974
1191986,320145.0,6398130.0,68.3606
1191987,320146.0,6398131.0,68.4839
1191988,320147.0,6398132.0,68.6071
1191989,320148.0,6398133.0,68.7303
1191992,320148.0,6398137.0,69.0903
1191993,320146.0,6398139.0,69.2039
1191994,320144.0,6398137.0,68.9574
1191995,320146.0,6398135.0,68.8439
1191996,320145.0,6398138.0,69.0807
1192008,320148.75,6398175.5,71.0374
1192009,320148.0,6398175.25,70.9299
1192010,320147.75,6398176.25,70.8687
1192011,320147.25,6398175.0,70.8225
1192012,320148.25,6398174.25,70.9911
1192013,320147.75,6398173.0,70.9449
1192014,320148.5,6398173.25,71.0524
1192015,320148.75,6398172.25,71.1136
1192016,320148.25,6398171.0,71.0673
1192019,320148.75,6398169.0,71.1897
1192027,320146.5,6398174.75,70.715
1192028,320146.25,6398175.75,70.6539
1192029,320145.75,6398174.5,70.6076
1192030,320145.0,6398174.25,70.5002
1192031,320144.75,6398175.25,70.439
1192032,320144.25,6398174.0,70.3928
1192033,320145.25,6398173.25,70.5614
1192034,320144.75,6398172.0,70.5151
1192035,320145.5,6398172.25,70.6226
1192036,320143.5,6398173.75,70.2853
1192037,320143.25,6398174.75,70.2242
1192038,320142.75,6398173.5,70.1779
1192039,320142.0,6398173.25,70.0704
1192040,320141.75,6398174.25,70.0092
1192041,320142.25,6398172.25,70.1316
1192042,320142.5,6398171.25,70.1928
1192043,320142.75,6398170.25,70.254
1192044,320143.0,6398169.25,70.3152
1192045,320143.25,6398168.25,70.3763
1192046,320143.5,6398167.25,70.4375
1192047,320143.75,6398169.5,70.4226
1192048,320144.5,6398169.75,70.53
1192049,320144.25,6398170.75,70.4689
