in:Octopus slider,out:Heating (kWh),out:LCA (C02e/m2),out:LCC (SEK/m2),img
117,84.619,15.132902,1591.332542,Octopusslider117.png
118,87.677,10.863402,1396.740334,Octopusslider118.png
119,85.882,12.686653,1550.185035,Octopusslider119.png
120,109.602,6.612091,1542.948276,Octopusslider120.png
121,100.949,13.32331,1739.980073,Octopusslider121.png
122,103.525,9.053307,1541.081029,Octopusslider122.png
123,102.013,10.876853,1697.054432,Octopusslider123.png
124,94.82,10.116635,1472.63266,Octopusslider124.png
125,84.598,16.826213,1655.6449,Octopusslider125.png
126,87.656,12.556714,1461.052692,Octopusslider126.png
127,85.864,14.379967,1614.524199,Octopusslider127.png
128,94.824,8.956639,1508.268402,Octopusslider128.png
129,84.598,15.666213,1691.2449,Octopusslider129.png
130,87.656,11.396714,1496.652692,Octopusslider130.png
131,85.864,13.219967,1650.124199,Octopusslider131.png
132,109.627,6.235451,1470.338326,Octopusslider132.png
133,100.974,12.946669,1667.370124,Octopusslider133.png
134,103.55,8.676666,1468.471079,Octopusslider134.png
135,102.038,10.500212,1624.444482,Octopusslider135.png
136,94.845,9.739994,1400.022711,Octopusslider136.png
137,84.623,16.449572,1583.03495,Octopusslider137.png
138,87.681,12.180073,1388.442742,Octopusslider138.png
139,85.889,14.003327,1541.914249,Octopusslider139.png
140,94.849,8.579998,1435.658452,Octopusslider140.png
141,84.623,15.289572,1618.63495,Octopusslider141.png
142,87.681,11.020073,1424.042742,Octopusslider142.png
143,85.889,12.843327,1577.514249,Octopusslider143.png
144,111.735,1.179838,1183.40284,Octopusslider144.png
145,103.121,7.891098,1380.783116,Octopusslider145.png
146,105.685,3.621082,1181.776847,Octopusslider146.png
147,104.181,5.444637,1337.821733,Octopusslider147.png
148,97.148,4.684586,1114.829617,Octopusslider148.png
149,86.984,11.394225,1298.360107,Octopusslider149.png
150,90.023,7.124705,1103.598127,Octopusslider150.png
151,88.241,8.947969,1257.158987,Octopusslider151.png
152,97.154,3.524592,1150.483229,Octopusslider152.png
153,86.984,10.234225,1333.960107,Octopusslider153.png
154,90.023,5.964705,1139.198127,Octopusslider154.png
155,88.241,7.787969,1292.758987,Octopusslider155.png
156,111.285,2.466034,1222.348601,Octopusslider156.png
157,102.658,9.17728,1419.612717,Octopusslider157.png
158,105.227,4.90727,1220.651125,Octopusslider158.png
159,103.718,6.730819,1376.651335,Octopusslider159.png
160,96.689,5.970772,1153.69496,Octopusslider160.png
161,86.509,12.680395,1337.082484,Octopusslider161.png
162,89.553,8.41088,1142.365181,Octopusslider162.png
163,87.768,10.234141,1295.899235,Octopusslider163.png
164,96.693,4.810777,1189.330701,Octopusslider164.png
165,86.509,11.520395,1372.682484,Octopusslider165.png
166,89.555,7.250883,1177.983052,Octopusslider166.png
167,87.768,9.074141,1331.499235,Octopusslider167.png
168,111.264,2.999346,1322.260959,Octopusslider168.png
169,102.637,9.710592,1519.525075,Octopusslider169.png
170,105.206,5.440581,1320.563483,Octopusslider170.png
171,103.7,7.264134,1476.590498,Octopusslider171.png
172,96.669,6.504085,1253.616253,Octopusslider172.png
173,86.488,13.213706,1436.994842,Octopusslider173.png
174,89.534,8.944194,1242.295409,Octopusslider174.png
175,87.748,10.767454,1395.820528,Octopusslider175.png
176,96.675,5.344091,1289.269865,Octopusslider176.png
177,86.488,12.053706,1472.594842,Octopusslider177.png
178,89.534,7.784194,1277.895409,Octopusslider178.png
179,87.748,9.607454,1431.420528,Octopusslider179.png
180,111.289,2.622705,1249.651009,Octopusslider180.png
181,102.662,9.333951,1446.915125,Octopusslider181.png
182,105.231,5.06394,1247.953533,Octopusslider182.png
183,103.725,6.887493,1403.980549,Octopusslider183.png
184,96.693,6.127443,1180.997368,Octopusslider184.png
185,86.513,12.837065,1364.384892,Octopusslider185.png
186,89.559,8.567553,1169.68546,Octopusslider186.png
187,87.772,10.390812,1323.201643,Octopusslider187.png
188,96.7,4.967451,1216.659915,Octopusslider188.png
189,86.513,11.677065,1399.984892,Octopusslider189.png
190,89.559,7.407553,1205.28546,Octopusslider190.png
191,87.772,9.230812,1358.801643,Octopusslider191.png
192,112.268,3.731873,1278.732905,Octopusslider192.png
193,103.662,10.443141,1476.184663,Octopusslider193.png
