x,y,value
-19.834629,-27.020244,0
-19.834629,-16.996751,0
-19.834629,-6.973259,0
-19.834629,3.050234,0
-19.834629,13.073727,0
-19.834629,23.097218,0
-19.834629,33.120709,0
-19.834629,43.144203,0
-19.834629,53.167698,0
-19.834629,63.191189,0
-19.834629,73.21468,0
-19.834629,83.238171,0
-19.834629,93.261665,0
-19.834629,103.285156,0
-19.834629,113.308647,0
-19.834629,123.332146,0
-19.834629,133.355637,0
-19.834629,143.379128,0
-19.834629,153.402618,0
-19.834629,163.426109,0
-19.834629,173.449608,0
-19.834629,183.473099,0
-19.834629,193.49659,0
-19.834629,203.520081,0
-19.834629,213.543572,0
-19.834629,223.56707,0
-19.834629,233.590569,0
-19.834629,243.614052,0
-19.834629,253.637535,0
-19.834629,263.661034,0
-19.834629,273.684532,0
-19.834629,283.708031,0
-19.834629,293.731514,0
-19.834629,303.754997,0
-19.834629,313.778496,0
-19.834629,323.801994,0
-19.834629,333.825493,0
-19.834629,343.848976,0
-19.834629,353.872459,0
-19.834629,363.895958,0
-19.834629,373.919457,0
-19.834629,383.942955,0
-19.834629,393.966438,0
-19.834629,403.989922,0
-19.834629,414.01342,0
-19.834629,424.036919,0
-19.834629,434.060417,0
-19.834629,444.083901,0
-19.834629,454.107384,0
-19.834629,464.130882,0
-19.834629,474.154381,0
-19.834629,484.177879,0
-19.834629,494.201378,0
-19.834629,504.224876,0
-19.834629,514.248344,0
-19.834629,524.271812,0
-19.834629,534.295311,0
-19.834629,544.31881,0
-19.834629,554.342308,0
-19.834629,564.365807,0
-19.834629,574.389305,0
-19.834629,584.412804,0
-19.834629,594.436302,0
-19.834629,604.459801,0
-19.834629,614.483269,0
-19.834629,624.506737,0
-19.834629,634.530235,0
-19.834629,644.553734,0
-19.834629,654.577232,0
-19.834629,664.600731,0
-19.834629,674.624229,0
-19.834629,684.647728,0
-19.834629,694.671227,0
-19.834629,704.694725,0
-19.834629,714.718193,0
-19.834629,724.741661,0
-19.834629,734.76516,0
-19.834629,744.788658,0
-19.834629,754.812157,0
-19.834629,764.835655,0
-19.834629,774.859154,0
-19.834629,784.882652,0
-19.834629,794.906151,0
-19.834629,804.929649,0
-19.834629,814.953117,0
-19.834629,824.976585,0
-19.834629,835.000084,0
-19.834629,845.023583,0
-19.834629,855.047081,0
-19.834629,865.07058,0
-19.834629,875.094078,0
-19.834629,885.117577,0
-19.834629,895.141075,0
-19.834629,905.164574,0
-19.834629,915.188042,0
-19.834629,925.21151,0
-19.834629,935.235008,0
-19.834629,945.258507,0
-19.834629,955.282005,0
-19.834629,965.305504,0
-19.834629,975.329002,0
-19.834629,985.352501,0
-19.834629,995.375969,0
-19.834629,1005.399468,0
-19.834629,1015.422966,0
-19.834629,1025.446465,0
-19.834629,1035.469963,0
-19.834629,1045.493462,0
-19.834629,1055.51696,0
-19.834629,1065.540398,0
-19.834629,1075.563896,0
-19.834629,1085.587395,0
-19.834629,1095.610893,0
-19.834629,1105.634392,0
-19.834629,1115.65789,0
-19.834629,1125.681389,0
-19.834629,1135.704887,0
-19.834629,1145.728386,0
-19.834629,1155.751823,0
-19.834629,1165.775322,0
-19.834629,1175.798821,0
-19.834629,1185.822319,0
-19.834629,1195.845818,0
-19.834629,1205.869316,0
-19.834629,1215.892815,0
-19.834629,1225.916313,0
-19.834629,1235.939812,0
-19.834629,1245.96331,0
-19.834629,1255.986809,0
-19.834629,1266.010246,0
-19.834629,1276.033745,0
-19.834629,1286.057243,0
-19.834629,1296.080742,0
-19.834629,1306.10424,0
-19.834629,1316.127739,0
-19.834629,1326.151238,0
-19.834629,1336.174736,0
-19.834629,1346.198235,0
-19.834629,1356.221672,0
-19.834629,1366.245171,0
-19.834629,1376.268669,0
-19.834629,1386.292168,0
-19.834629,1396.315666,0
-19.834629,1406.339165,0
-19.834629,1416.362663,0
-19.834629,1426.386162,0
-19.834629,1436.40966,0
-19.834629,1446.433159,0
-19.834629,1456.456657,0
-19.834629,1466.480095,0
-19.834629,1476.503593,0
-19.834629,1486.527092,0
-19.834629,1496.550591,0
-19.834629,1506.574089,0
-19.834629,1516.597588,0
-19.834629,1526.621086,0
-19.834629,1536.644585,0
-19.834629,1546.668083,0
-19.834629,1556.691521,0
-19.834629,1566.715019,0
-19.834629,1576.738518,0
-19.834629,1586.762016,0
-19.834629,1596.785515,0
-19.834629,1606.809013,0
-19.834629,1616.832512,0
-19.834629,1626.85601,0
-19.834629,1636.879509,0
-19.834629,1646.903008,0
-19.834629,1656.926506,0
-19.834629,1666.949944,0
-19.834629,1676.973442,0
-19.834629,1686.996941,0
-19.834629,1697.020439,0
-19.834629,1707.043938,0
-19.834629,1717.067436,0
-19.834629,1727.090935,0
-19.834629,1737.114433,0
-19.834629,1747.137932,0
-19.834629,1757.161369,0
-19.834629,1767.184868,0
-19.834629,1777.208366,0
-19.834629,1787.231865,0
-19.834629,1797.255364,0
-19.834629,1807.278862,0
-19.834629,1817.302361,0
-19.834629,1827.325859,0
-19.834629,1837.349358,0
-19.834629,1847.372856,0
-19.834629,1857.396355,0
-9.803554,-27.020244,0
-9.803554,-16.996751,0
-9.803554,-6.973259,0
-9.803554,3.050234,0
-9.803554,13.073727,0
-9.803554,23.097218,0
-9.803554,33.120709,0
-9.803554,43.144203,0
-9.803554,53.167698,0
-9.803554,63.191189,0
-9.803554,73.21468,0
-9.803554,83.238171,0
-9.803554,93.261665,0
-9.803554,103.285156,0
-9.803554,113.308647,0
-9.803554,123.332146,0
-9.803554,133.355637,0
-9.803554,143.379128,0
-9.803554,153.402618,0
-9.803554,163.426109,0
-9.803554,173.449608,0
-9.803554,183.473099,0
-9.803554,193.49659,0
-9.803554,203.520081,0
-9.803554,213.543572,0
-9.803554,223.56707,0
-9.803554,233.590569,0
-9.803554,243.614052,0
-9.803554,253.637535,0
-9.803554,263.661034,0
-9.803554,273.684532,0
-9.803554,283.708031,0
-9.803554,293.731514,0
-9.803554,303.754997,0
-9.803554,313.778496,0
-9.803554,323.801994,0
-9.803554,333.825493,0
-9.803554,343.848976,0
-9.803554,353.872459,0
-9.803554,363.895958,0
-9.803554,373.919457,0
-9.803554,383.942955,0
-9.803554,393.966438,0
-9.803554,403.989922,0
-9.803554,414.01342,0
-9.803554,424.036919,0
-9.803554,434.060417,0
-9.803554,444.083901,0
-9.803554,454.107384,0
-9.803554,464.130882,0
-9.803554,474.154381,0
-9.803554,484.177879,0
-9.803554,494.201378,0
-9.803554,504.224876,0
-9.803554,514.248344,0
-9.803554,524.271812,0
-9.803554,534.295311,0
-9.803554,544.31881,0
-9.803554,554.342308,0
-9.803554,564.365807,0
-9.803554,574.389305,0
-9.803554,584.412804,0
-9.803554,594.436302,0
-9.803554,604.459801,0
-9.803554,614.483269,0
-9.803554,624.506737,0
-9.803554,634.530235,0
-9.803554,644.553734,0
-9.803554,654.577232,0
-9.803554,664.600731,0
-9.803554,674.624229,0
-9.803554,684.647728,0
-9.803554,694.671227,0
-9.803554,704.694725,0
-9.803554,714.718193,0
-9.803554,724.741661,0
-9.803554,734.76516,0
-9.803554,744.788658,0
-9.803554,754.812157,0
-9.803554,764.835655,0
-9.803554,774.859154,0
-9.803554,784.882652,0
-9.803554,794.906151,0
-9.803554,804.929649,0
-9.803554,814.953117,0
-9.803554,824.976585,0
-9.803554,835.000084,0
-9.803554,845.023583,0
-9.803554,855.047081,0
-9.803554,865.07058,0
-9.803554,875.094078,0
-9.803554,885.117577,0
-9.803554,895.141075,0
-9.803554,905.164574,0
-9.803554,915.188042,0
-9.803554,925.21151,0
-9.803554,935.235008,0
-9.803554,945.258507,0
-9.803554,955.282005,0
-9.803554,965.305504,0
-9.803554,975.329002,0
-9.803554,985.352501,0
-9.803554,995.375969,0
-9.803554,1005.399468,0
-9.803554,1015.422966,0
-9.803554,1025.446465,0
-9.803554,1035.469963,0
-9.803554,1045.493462,0
-9.803554,1055.51696,0
-9.803554,1065.540398,0
-9.803554,1075.563896,0
-9.803554,1085.587395,0
-9.803554,1095.610893,0
-9.803554,1105.634392,0
-9.803554,1115.65789,0
-9.803554,1125.681389,0
-9.803554,1135.704887,0
-9.803554,1145.728386,0
-9.803554,1155.751823,0
-9.803554,1165.775322,0
-9.803554,1175.798821,0
-9.803554,1185.822319,0
-9.803554,1195.845818,0
-9.803554,1205.869316,0
-9.803554,1215.892815,0
-9.803554,1225.916313,0
-9.803554,1235.939812,0
-9.803554,1245.96331,0
-9.803554,1255.986809,0
-9.803554,1266.010246,0
-9.803554,1276.033745,0
-9.803554,1286.057243,0
-9.803554,1296.080742,0
-9.803554,1306.10424,0
-9.803554,1316.127739,0
-9.803554,1326.151238,0
-9.803554,1336.174736,0
-9.803554,1346.198235,0
-9.803554,1356.221672,0
-9.803554,1366.245171,0
-9.803554,1376.268669,0
-9.803554,1386.292168,0
-9.803554,1396.315666,0
-9.803554,1406.339165,0
-9.803554,1416.362663,0
-9.803554,1426.386162,0
-9.803554,1436.40966,0
-9.803554,1446.433159,0
-9.803554,1456.456657,0
-9.803554,1466.480095,0
-9.803554,1476.503593,0
-9.803554,1486.527092,0
-9.803554,1496.550591,0
-9.803554,1506.574089,0
-9.803554,1516.597588,0
-9.803554,1526.621086,0
-9.803554,1536.644585,0
-9.803554,1546.668083,0
-9.803554,1556.691521,0
-9.803554,1566.715019,0
-9.803554,1576.738518,0
-9.803554,1586.762016,0
-9.803554,1596.785515,0
-9.803554,1606.809013,0
-9.803554,1616.832512,0
-9.803554,1626.85601,0
-9.803554,1636.879509,0
-9.803554,1646.903008,0
-9.803554,1656.926506,0
-9.803554,1666.949944,0
-9.803554,1676.973442,0
-9.803554,1686.996941,0
-9.803554,1697.020439,0
-9.803554,1707.043938,0
-9.803554,1717.067436,0
-9.803554,1727.090935,0
-9.803554,1737.114433,0
-9.803554,1747.137932,0
-9.803554,1757.161369,0
-9.803554,1767.184868,0
-9.803554,1777.208366,0
-9.803554,1787.231865,0
-9.803554,1797.255364,0
-9.803554,1807.278862,0
-9.803554,1817.302361,0
-9.803554,1827.325859,0
-9.803554,1837.349358,0
-9.803554,1847.372856,0
-9.803554,1857.396355,0
0.22752,-27.020244,0
0.22752,-16.996751,0
0.22752,-6.973259,0
0.22752,3.050234,0
0.22752,13.073727,0
0.22752,23.097218,0
0.22752,33.120709,0
0.22752,43.144203,0
0.22752,53.167698,0
0.22752,63.191189,0
0.22752,73.21468,0
0.22752,83.238171,0
0.22752,93.261665,0
0.22752,103.285156,0
0.22752,113.308647,0
0.22752,123.332146,0
0.22752,133.355637,0
0.22752,143.379128,0
0.22752,153.402618,0
0.22752,163.426109,0
0.22752,173.449608,0
0.22752,183.473099,0
0.22752,193.49659,0
0.22752,203.520081,0
0.22752,213.543572,0
0.22752,223.56707,0
0.22752,233.590569,0
0.22752,243.614052,0
0.22752,253.637535,0
0.22752,263.661034,0
0.22752,273.684532,0
0.22752,283.708031,0
0.22752,293.731514,0
0.22752,303.754997,0
0.22752,313.778496,0
0.22752,323.801994,0
0.22752,333.825493,0
0.22752,343.848976,0
0.22752,353.872459,0
0.22752,363.895958,0
0.22752,373.919457,0
0.22752,383.942955,0
0.22752,393.966438,0
0.22752,403.989922,0
0.22752,414.01342,0
0.22752,424.036919,0
0.22752,434.060417,0
0.22752,444.083901,0
0.22752,454.107384,0
0.22752,464.130882,0
0.22752,474.154381,0
0.22752,484.177879,0
0.22752,494.201378,0
0.22752,504.224876,0
0.22752,514.248344,0
0.22752,524.271812,0
0.22752,534.295311,0
0.22752,544.31881,0
0.22752,554.342308,0
0.22752,564.365807,0
0.22752,574.389305,0
0.22752,584.412804,0
0.22752,594.436302,0
0.22752,604.459801,0
0.22752,614.483269,0
0.22752,624.506737,0
0.22752,634.530235,0
0.22752,644.553734,0
0.22752,654.577232,0
0.22752,664.600731,0
0.22752,674.624229,0
0.22752,684.647728,0
0.22752,694.671227,0
0.22752,704.694725,0
0.22752,714.718193,0
0.22752,724.741661,0
0.22752,734.76516,0
0.22752,744.788658,0
0.22752,754.812157,0
0.22752,764.835655,0
0.22752,774.859154,0
0.22752,784.882652,0
0.22752,794.906151,0
0.22752,804.929649,0
0.22752,814.953117,0
0.22752,824.976585,0
0.22752,835.000084,0
0.22752,845.023583,0
0.22752,855.047081,0
0.22752,865.07058,0
0.22752,875.094078,0
0.22752,885.117577,0
0.22752,895.141075,0
0.22752,905.164574,0
0.22752,915.188042,0
0.22752,925.21151,0
0.22752,935.235008,0
0.22752,945.258507,0
0.22752,955.282005,0
0.22752,965.305504,0
0.22752,975.329002,0
0.22752,985.352501,0
0.22752,995.375969,0
0.22752,1005.399468,0
0.22752,1015.422966,0
0.22752,1025.446465,0
0.22752,1035.469963,0
0.22752,1045.493462,0
0.22752,1055.51696,0
0.22752,1065.540398,0
0.22752,1075.563896,0
0.22752,1085.587395,0
0.22752,1095.610893,0
0.22752,1105.634392,0
0.22752,1115.65789,0
0.22752,1125.681389,0
0.22752,1135.704887,0
0.22752,1145.728386,0
0.22752,1155.751823,0
0.22752,1165.775322,0
0.22752,1175.798821,0
0.22752,1185.822319,0
0.22752,1195.845818,0
0.22752,1205.869316,0
0.22752,1215.892815,0
0.22752,1225.916313,0
0.22752,1235.939812,0
0.22752,1245.96331,0
0.22752,1255.986809,0
0.22752,1266.010246,0
0.22752,1276.033745,0
0.22752,1286.057243,0
0.22752,1296.080742,0
0.22752,1306.10424,0
0.22752,1316.127739,0
0.22752,1326.151238,0
0.22752,1336.174736,0
0.22752,1346.198235,0
0.22752,1356.221672,0
0.22752,1366.245171,0
0.22752,1376.268669,0
0.22752,1386.292168,0
0.22752,1396.315666,0
0.22752,1406.339165,0
0.22752,1416.362663,0
0.22752,1426.386162,0
0.22752,1436.40966,0
0.22752,1446.433159,0
0.22752,1456.456657,0
0.22752,1466.480095,0
0.22752,1476.503593,0
0.22752,1486.527092,0
0.22752,1496.550591,0
0.22752,1506.574089,0
0.22752,1516.597588,0
0.22752,1526.621086,0
0.22752,1536.644585,0
0.22752,1546.668083,0
0.22752,1556.691521,0
0.22752,1566.715019,0
0.22752,1576.738518,0
0.22752,1586.762016,0
0.22752,1596.785515,0
0.22752,1606.809013,0
0.22752,1616.832512,0
0.22752,1626.85601,0
0.22752,1636.879509,0
0.22752,1646.903008,0
0.22752,1656.926506,0
0.22752,1666.949944,0
0.22752,1676.973442,0
0.22752,1686.996941,0
0.22752,1697.020439,0
0.22752,1707.043938,0
0.22752,1717.067436,0
0.22752,1727.090935,0
0.22752,1737.114433,0
0.22752,1747.137932,0
0.22752,1757.161369,0
0.22752,1767.184868,0
0.22752,1777.208366,0
0.22752,1787.231865,0
0.22752,1797.255364,0
0.22752,1807.278862,0
0.22752,1817.302361,0
0.22752,1827.325859,0
0.22752,1837.349358,0
0.22752,1847.372856,0
0.22752,1857.396355,0
10.258595,-27.020244,0
10.258595,-16.996751,0
10.258595,-6.973259,0
10.258595,3.050234,0
10.258595,13.073727,0
10.258595,23.097218,0
10.258595,33.120709,0
10.258595,43.144203,0
10.258595,53.167698,0
10.258595,63.191189,0
10.258595,73.21468,0
10.258595,83.238171,0
10.258595,93.261665,0
10.258595,103.285156,0
10.258595,113.308647,0
10.258595,123.332146,0
10.258595,133.355637,0
10.258595,143.379128,0
10.258595,153.402618,0
10.258595,163.426109,0
10.258595,173.449608,0
10.258595,183.473099,0
10.258595,193.49659,0
10.258595,203.520081,0
10.258595,213.543572,0
10.258595,223.56707,0
10.258595,233.590569,0
