x,y,value
-22.286669,-29.471936,0
-22.286669,-24.351828,0
-22.286669,-19.231719,0
-22.286669,-14.111611,0
-22.286669,-8.991503,0
-22.286669,-3.871394,0
-22.286669,1.248714,0
-22.286669,6.368822,0
-22.286669,11.48893,0
-22.286669,16.609039,0
-22.286669,21.729147,0
-22.286669,26.849255,0
-22.286669,31.969364,0
-22.286669,37.089474,0
-22.286669,42.20958,0
-22.286669,47.329685,0
-22.286669,52.449795,0
-22.286669,57.569904,0
-22.286669,62.690014,0
-22.286669,67.810123,0
-22.286669,72.930229,0
-22.286669,78.050335,0
-22.286669,83.170445,0
-22.286669,88.290554,0
-22.286669,93.41066,0
-22.286669,98.530769,0
-22.286669,103.650879,0
-22.286669,108.770989,0
-22.286669,113.891098,0
-22.286669,119.0112,0
-22.286669,124.13131,0
-22.286669,129.251419,0
-22.286669,134.371529,0
-22.286669,139.491638,0
-22.286669,144.611748,0
-22.286669,149.731857,0
-22.286669,154.851959,0
-22.286669,159.972069,0
-22.286669,165.092178,0
-22.286669,170.212288,0
-22.286669,175.332398,0
-22.286669,180.452499,0
-22.286669,185.572609,0
-22.286669,190.692719,0
-22.286669,195.812828,0
-22.286669,200.932938,0
-22.286669,206.053047,0
-22.286669,211.173157,0
-22.286669,216.293259,0
-22.286669,221.413361,0
-22.286669,226.53347,0
-22.286669,231.653587,0
-22.286669,236.773705,0
-22.286669,241.893807,0
-22.286669,247.013908,0
-22.286669,252.134026,0
-22.286669,257.254128,0
-22.286669,262.374229,0
-22.286669,267.494347,0
-22.286669,272.614449,0
-22.286669,277.734551,0
-22.286669,282.854668,0
-22.286669,287.974785,0
-22.286669,293.094887,0
-22.286669,298.214989,0
-22.286669,303.335106,0
-22.286669,308.455208,0
-22.286669,313.57531,0
-22.286669,318.695427,0
-22.286669,323.815544,0
-22.286669,328.935646,0
-22.286669,334.055748,0
-22.286669,339.175865,0
-22.286669,344.295967,0
-22.286669,349.416069,0
-22.286669,354.536186,0
-22.286669,359.656288,0
-22.286669,364.77639,0
-22.286669,369.896507,0
-22.286669,375.016625,0
-22.286669,380.136726,0
-22.286669,385.256828,0
-22.286669,390.376946,0
-22.286669,395.497047,0
-22.286669,400.617149,0
-22.286669,405.737267,0
-22.286669,410.857384,0
-22.286669,415.977486,0
-22.286669,421.097588,0
-22.286669,426.217705,0
-22.286669,431.337807,0
-22.286669,436.457909,0
-22.286669,441.578026,0
-22.286669,446.698143,0
-22.286669,451.818245,0
-22.286669,456.938347,0
-22.286669,462.058464,0
-22.286669,467.178566,0
-22.286669,472.298668,0
-22.286669,477.41877,0
-22.286669,482.538872,0
-22.286669,487.658989,0
-22.286669,492.779106,0
-22.286669,497.899223,0
-22.286669,503.019341,0
-22.286669,508.139458,0
-22.286669,513.259544,0
-22.286669,518.379631,0
-22.286669,523.499748,0
-22.286669,528.619865,0
-22.286669,533.739983,0
-22.286669,538.8601,0
-22.286669,543.980187,0
-22.286669,549.100273,0
-22.286669,554.22039,0
-22.286669,559.340508,0
-22.286669,564.460625,0
-22.286669,569.580742,0
-22.286669,574.700859,0
-22.286669,579.820946,0
-22.286669,584.941032,0
-22.286669,590.06115,0
-22.286669,595.181267,0
-22.286669,600.301384,0
-22.286669,605.421501,0
-22.286669,610.541618,0
-22.286669,615.661705,0
-22.286669,620.781792,0
-22.286669,625.901909,0
-22.286669,631.022026,0
-22.286669,636.142143,0
-22.286669,641.26226,0
-22.286669,646.382378,0
-22.286669,651.502464,0
-22.286669,656.622551,0
-22.286669,661.742668,0
-22.286669,666.862785,0
-22.286669,671.982903,0
-22.286669,677.10302,0
-22.286669,682.223137,0
-22.286669,687.343224,0
-22.286669,692.46331,0
-22.286669,697.583427,0
-22.286669,702.703545,0
-22.286669,707.823662,0
-22.286669,712.943779,0
-22.286669,718.063896,0
-22.286669,723.183983,0
-22.286669,728.30407,0
-22.286669,733.424187,0
-22.286669,738.544304,0
-22.286669,743.664421,0
-22.286669,748.784538,0
-22.286669,753.904625,0
-22.286669,759.024712,0
-22.286669,764.144829,0
-22.286669,769.264946,0
-22.286669,774.385063,0
-22.286669,779.50518,0
-22.286669,784.625298,0
-22.286669,789.745384,0
-22.286669,794.865471,0
-22.286669,799.985588,0
-22.286669,805.105705,0
-22.286669,810.225823,0
-22.286669,815.34594,0
-22.286669,820.466057,0
-22.286669,825.586144,0
-22.286669,830.70623,0
-22.286669,835.826347,0
-22.286669,840.946465,0
-22.286669,846.066582,0
-22.286669,851.186699,0
-22.286669,856.306816,0
-22.286669,861.426903,0
-22.286669,866.546989,0
-22.286669,871.667107,0
-22.286669,876.787224,0
-22.286669,881.907341,0
-22.286669,887.027458,0
-22.286669,892.147575,0
-22.286669,897.267662,0
-22.286669,902.387749,0
-22.286669,907.507866,0
-22.286669,912.627983,0
-22.286669,917.7481,0
-22.286669,922.868218,0
-22.286669,927.988335,0
-22.286669,933.108421,0
-22.286669,938.228508,0
-22.286669,943.348625,0
-22.286669,948.468742,0
-22.286669,953.58886,0
-22.286669,958.708977,0
-22.286669,963.829094,0
-22.286669,968.949181,0
-22.286669,974.069267,0
-22.286669,979.189385,0
-22.286669,984.309502,0
-22.286669,989.429588,0
-22.286669,994.549675,0
-22.286669,999.669792,0
-22.286669,1004.789909,0
-22.286669,1009.910027,0
-22.286669,1015.030144,0
-22.286669,1020.150261,0
-22.286669,1025.270378,0
-22.286669,1030.390495,0
-22.286669,1035.510613,0
-22.286669,1040.63073,0
-22.286669,1045.750847,0
-22.286669,1050.870964,0
-22.286669,1055.99102,0
-22.286669,1061.111076,0
-22.286669,1066.231194,0
-22.286669,1071.351311,0
-22.286669,1076.471428,0
-22.286669,1081.591545,0
-22.286669,1086.711662,0
-22.286669,1091.83178,0
-22.286669,1096.951897,0
-22.286669,1102.072014,0
-22.286669,1107.192131,0
-22.286669,1112.312248,0
-22.286669,1117.432365,0
-22.286669,1122.552422,0
-22.286669,1127.672478,0
-22.286669,1132.792595,0
-22.286669,1137.912712,0
-22.286669,1143.032829,0
-22.286669,1148.152947,0
-22.286669,1153.273064,0
-22.286669,1158.393181,0
-22.286669,1163.513298,0
-22.286669,1168.633415,0
-22.286669,1173.753532,0
-22.286669,1178.87365,0
-22.286669,1183.993767,0
-22.286669,1189.113884,0
-22.286669,1194.23394,0
-22.286669,1199.353996,0
