time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050401:1510,66.24,0.0,89.99,3.4,17.76,9.67,3.31,0.0
20050401:1610,30.81,0.0,48.87,1.85,7.59,8.86,2.9,0.0
20050401:1710,0.0,0.0,0.0,0.0,0.0,7.35,2.62,0.0
20050401:1810,0.0,0.0,0.0,0.0,0.0,6.08,2.34,0.0
20050401:1910,0.0,0.0,0.0,0.0,0.0,5.67,2.21,0.0
20050401:2010,0.0,0.0,0.0,0.0,0.0,4.16,2.14,0.0
20050401:2110,0.0,0.0,0.0,0.0,0.0,2.72,2.07,0.0
20050401:2210,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0
20050401:2310,0.0,0.0,0.0,0.0,0.0,0.44,1.93,0.0
20050402:0010,0.0,0.0,0.0,0.0,0.0,-0.42,1.86,0.0
20050402:0110,0.0,0.0,0.0,0.0,0.0,-1.01,1.86,0.0
20050402:0210,0.0,0.0,0.0,0.0,0.0,-1.48,1.79,0.0
20050402:0310,0.0,0.0,0.0,0.0,0.0,-1.79,1.79,0.0
20050402:0410,0.0,0.0,0.0,0.0,0.0,-1.99,1.72,0.0
20050402:0510,189.12,160.56,55.54,2.08,9.64,-1.3,1.52,0.0
20050402:0610,450.82,371.06,142.44,7.03,19.76,2.43,0.9,0.0
20050402:0710,623.28,571.85,166.4,12.68,29.34,5.86,0.83,0.0
20050402:0810,677.91,655.34,161.99,17.69,37.8,7.49,0.76,0.0
20050402:0910,634.3,605.38,160.88,20.97,44.28,8.78,0.48,0.0
20050402:1010,549.46,523.66,134.23,23.29,47.75,9.83,0.48,0.0
20050402:1110,394.72,345.63,129.37,23.08,47.4,10.76,0.76,0.0
20050402:1210,209.71,150.2,127.71,21.0,43.32,11.35,1.24,0.0
20050402:1310,93.02,0.0,121.02,4.57,36.41,11.44,1.72,0.0
20050402:1410,82.79,0.0,109.38,4.13,27.71,11.29,2.14,0.0
20050402:1510,65.11,0.0,89.21,3.37,17.99,10.8,2.28,0.0
20050402:1610,34.52,0.0,53.53,2.02,7.82,9.81,1.86,0.0
20050402:1710,0.0,0.0,0.0,0.0,0.0,7.98,2.0,0.0
20050402:1810,0.0,0.0,0.0,0.0,0.0,6.25,1.93,0.0
20050402:1910,0.0,0.0,0.0,0.0,0.0,5.65,1.79,0.0
20050402:2010,0.0,0.0,0.0,0.0,0.0,4.28,1.66,0.0
20050402:2110,0.0,0.0,0.0,0.0,0.0,2.7,1.79,0.0
20050402:2210,0.0,0.0,0.0,0.0,0.0,1.14,1.86,0.0
20050402:2310,0.0,0.0,0.0,0.0,0.0,-0.04,1.72,0.0
20050403:0010,0.0,0.0,0.0,0.0,0.0,-0.78,1.66,0.0
20050403:0110,0.0,0.0,0.0,0.0,0.0,-1.1,1.66,0.0
20050403:0210,0.0,0.0,0.0,0.0,0.0,-1.07,1.66,0.0
20050403:0310,0.0,0.0,0.0,0.0,0.0,-1.04,1.66,0.0
20050403:0410,0.0,0.0,0.0,0.0,0.0,-1.09,1.72,0.0
20050403:0510,128.12,99.22,53.48,1.9,9.97,-0.23,1.45,0.0
20050403:0610,458.32,387.0,142.23,7.23,20.1,4.42,0.62,0.0
20050403:0710,613.06,571.11,168.15,12.8,29.69,8.0,0.41,0.0
20050403:0810,662.2,636.75,168.79,17.57,38.17,9.69,0.76,0.0
20050403:0910,629.8,588.18,169.48,20.82,44.67,10.93,1.24,0.0
20050403:1010,553.94,523.2,134.99,23.34,48.14,11.78,1.66,0.0
20050403:1110,397.85,354.94,122.56,23.34,47.77,12.34,1.79,0.0
20050403:1210,199.74,166.52,103.24,21.64,43.65,12.68,1.93,0.0
20050403:1310,106.94,0.0,137.31,5.18,36.7,12.84,2.0,0.0
20050403:1410,80.83,0.0,107.83,4.07,27.96,12.71,2.07,0.0
20050403:1510,63.9,0.0,88.44,3.34,18.22,12.37,1.93,0.0
20050403:1610,31.01,0.0,49.65,1.87,8.04,11.44,1.38,0.0
20050403:1710,0.0,0.0,0.0,0.0,0.0,9.71,1.52,0.0
20050403:1810,0.0,0.0,0.0,0.0,0.0,7.19,1.86,0.0
20050403:1910,0.0,0.0,0.0,0.0,0.0,7.2,1.59,0.0
20050403:2010,0.0,0.0,0.0,0.0,0.0,5.06,1.79,0.0
20050403:2110,0.0,0.0,0.0,0.0,0.0,3.23,2.0,0.0
20050403:2210,0.0,0.0,0.0,0.0,0.0,2.05,1.93,0.0
20050403:2310,0.0,0.0,0.0,0.0,0.0,1.24,1.79,0.0
20050404:0010,0.0,0.0,0.0,0.0,0.0,0.56,1.79,0.0
20050404:0110,0.0,0.0,0.0,0.0,0.0,0.1,1.79,0.0
20050404:0210,0.0,0.0,0.0,0.0,0.0,-0.47,1.86,0.0
20050404:0310,0.0,0.0,0.0,0.0,0.0,-0.7,1.93,0.0
20050404:0410,0.0,0.0,0.0,0.0,0.0,-0.77,2.0,0.0
20050404:0510,229.11,197.53,61.92,2.43,10.3,0.03,1.86,0.0
20050404:0610,440.4,356.75,147.88,7.18,20.44,4.63,1.24,0.0
20050404:0710,614.98,577.63,167.9,12.98,30.04,10.26,0.76,0.0
20050404:0810,644.05,618.4,176.65,17.49,38.53,12.45,0.62,0.0
20050404:0910,614.82,587.09,170.09,20.88,45.06,13.57,0.62,0.0
20050404:1010,538.24,515.51,139.49,23.26,48.53,14.26,0.76,0.0
20050404:1110,393.35,369.84,111.56,23.75,48.13,14.69,0.9,0.0
20050404:1210,192.78,179.43,87.76,22.26,43.97,15.12,0.9,0.0
20050404:1310,87.78,0.0,117.14,4.42,36.98,15.28,1.1,0.0
20050404:1410,75.06,0.0,102.4,3.87,28.21,15.09,1.38,0.0
20050404:1510,62.49,0.0,87.66,3.31,18.45,14.66,1.72,0.0
20050404:1610,33.84,0.0,53.53,2.02,8.27,13.61,1.38,0.0
20050404:1710,0.0,0.0,0.0,0.0,0.0,11.84,1.03,0.0
20050404:1810,0.0,0.0,0.0,0.0,0.0,12.36,0.48,0.0
20050404:1910,0.0,0.0,0.0,0.0,0.0,12.53,0.34,0.0
20050404:2010,0.0,0.0,0.0,0.0,0.0,11.72,1.1,0.0
20050404:2110,0.0,0.0,0.0,0.0,0.0,5.55,2.28,0.0
20050404:2210,0.0,0.0,0.0,0.0,0.0,3.51,2.28,0.0
20050404:2310,0.0,0.0,0.0,0.0,0.0,2.5,2.14,0.0
20050405:0010,0.0,0.0,0.0,0.0,0.0,2.05,2.07,0.0
20050405:0110,0.0,0.0,0.0,0.0,0.0,1.73,2.0,0.0
20050405:0210,0.0,0.0,0.0,0.0,0.0,1.57,2.07,0.0
20050405:0310,0.0,0.0,0.0,0.0,0.0,1.49,2.07,0.0
20050405:0410,0.0,0.0,0.0,0.0,0.0,1.2,2.07,0.0
20050405:0510,216.76,183.32,64.94,2.49,10.63,1.79,1.79,0.0
20050405:0610,427.6,342.38,151.4,7.21,20.77,5.81,0.97,0.0
20050405:0710,590.4,535.88,181.48,12.77,30.39,10.47,0.48,0.0
20050405:0810,636.2,609.81,181.44,17.52,38.9,11.97,0.14,0.0
