time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,0.0,0.0,0.0,-1.67,1.17,0.0
20050101:0110,0.0,0.0,0.0,0.0,0.0,-1.53,1.17,0.0
20050101:0210,0.0,0.0,0.0,0.0,0.0,-1.27,1.17,0.0
20050101:0310,0.0,0.0,0.0,0.0,0.0,-0.75,1.24,0.0
20050101:0410,0.0,0.0,0.0,0.0,0.0,-0.2,1.24,0.0
20050101:0510,0.0,0.0,0.0,0.0,0.0,-0.07,1.24,0.0
20050101:0610,0.0,0.0,0.0,0.0,0.0,-0.2,1.31,0.0
20050101:0710,101.7,94.69,31.81,1.2,6.38,0.05,1.31,0.0
20050101:0810,64.42,16.89,68.69,2.46,12.95,0.75,1.38,0.0
20050101:0910,82.71,8.87,96.83,3.46,17.61,1.36,1.45,0.0
20050101:1010,23.64,0.0,39.23,1.35,19.93,1.86,1.66,0.0
20050101:1110,20.82,0.0,35.82,1.23,19.67,2.07,1.86,0.0
20050101:1210,10.51,0.0,22.5,0.85,16.85,2.19,2.14,0.0
20050101:1310,10.53,0.0,22.5,0.85,11.77,1.96,2.14,0.0
20050101:1410,4.15,0.0,13.19,0.5,4.86,1.48,1.52,0.0
20050101:1510,0.0,0.0,0.0,0.0,0.0,1.03,1.38,0.0
20050101:1610,0.0,0.0,0.0,0.0,0.0,0.62,1.38,0.0
20050101:1710,0.0,0.0,0.0,0.0,0.0,0.51,1.38,0.0
20050101:1810,0.0,0.0,0.0,0.0,0.0,0.51,1.38,0.0
20050101:1910,0.0,0.0,0.0,0.0,0.0,0.36,1.03,0.0
20050101:2010,0.0,0.0,0.0,0.0,0.0,0.25,0.9,0.0
20050101:2110,0.0,0.0,0.0,0.0,0.0,0.04,0.97,0.0
20050101:2210,0.0,0.0,0.0,0.0,0.0,-0.02,1.1,0.0
20050101:2310,0.0,0.0,0.0,0.0,0.0,-0.44,1.31,0.0
20050102:0010,0.0,0.0,0.0,0.0,0.0,-0.16,1.38,0.0
20050102:0110,0.0,0.0,0.0,0.0,0.0,0.14,1.52,0.0
20050102:0210,0.0,0.0,0.0,0.0,0.0,0.3,1.52,0.0
20050102:0310,0.0,0.0,0.0,0.0,0.0,0.48,1.59,0.0
20050102:0410,0.0,0.0,0.0,0.0,0.0,0.62,1.79,0.0
20050102:0510,0.0,0.0,0.0,0.0,0.0,0.69,1.86,0.0
20050102:0610,0.0,0.0,0.0,0.0,0.0,0.89,1.93,0.0
20050102:0710,37.92,31.55,24.7,0.88,6.39,1.04,2.07,0.0
20050102:0810,27.95,0.0,44.34,1.52,12.99,1.63,2.21,0.0
20050102:0910,24.3,0.0,40.08,1.38,17.67,2.33,2.69,0.0
20050102:1010,36.54,0.0,54.58,1.87,20.01,2.77,2.48,0.0
20050102:1110,12.71,0.0,25.58,0.88,19.77,2.99,2.69,0.0
20050102:1210,8.77,0.0,20.17,0.76,16.96,3.37,3.31,0.0
20050102:1310,23.2,0.0,38.79,1.46,11.89,3.52,3.1,0.0
20050102:1410,1.44,0.0,8.53,0.32,4.99,3.53,3.24,0.0
20050102:1510,0.0,0.0,0.0,0.0,0.0,3.26,3.31,0.0
20050102:1610,0.0,0.0,0.0,0.0,0.0,3.08,3.24,0.0
20050102:1710,0.0,0.0,0.0,0.0,0.0,3.15,2.97,0.0
20050102:1810,0.0,0.0,0.0,0.0,0.0,3.26,2.69,0.0
20050102:1910,0.0,0.0,0.0,0.0,0.0,3.09,2.28,0.0
20050102:2010,0.0,0.0,0.0,0.0,0.0,2.92,2.14,0.0
20050102:2110,0.0,0.0,0.0,0.0,0.0,2.54,2.0,0.0
20050102:2210,0.0,0.0,0.0,0.0,0.0,2.28,1.72,0.0
20050102:2310,0.0,0.0,0.0,0.0,0.0,2.21,1.45,0.0
20050103:0010,0.0,0.0,0.0,0.0,0.0,1.48,1.45,0.0
20050103:0110,0.0,0.0,0.0,0.0,0.0,0.49,1.45,0.0
20050103:0210,0.0,0.0,0.0,0.0,0.0,0.19,1.31,0.0
20050103:0310,0.0,0.0,0.0,0.0,0.0,-0.42,1.38,0.0
20050103:0410,0.0,0.0,0.0,0.0,0.0,-0.66,1.45,0.0
20050103:0510,0.0,0.0,0.0,0.0,0.0,-1.15,1.52,0.0
20050103:0610,0.0,0.0,0.0,0.0,0.0,-1.75,1.45,0.0
20050103:0710,71.57,63.02,30.09,1.08,6.42,-1.61,1.24,0.0
20050103:0810,148.84,86.92,89.56,3.54,13.03,-0.3,1.38,0.0
20050103:0910,112.2,25.18,112.55,4.22,17.73,1.26,1.93,0.0
20050103:1010,209.23,123.18,129.54,8.05,20.1,1.94,2.55,0.0
20050103:1110,112.38,87.41,78.87,9.31,19.87,2.48,3.52,0.0
20050103:1210,21.36,0.0,36.46,1.38,17.08,2.93,3.59,0.0
20050103:1310,6.63,0.0,17.07,0.64,12.02,3.02,3.24,0.0
20050103:1410,18.25,0.0,32.58,1.23,5.13,2.69,2.62,0.0
20050103:1510,0.0,0.0,0.0,0.0,0.0,1.78,2.41,0.0
20050103:1610,0.0,0.0,0.0,0.0,0.0,1.05,1.93,0.0
20050103:1710,0.0,0.0,0.0,0.0,0.0,0.7,1.86,0.0
20050103:1810,0.0,0.0,0.0,0.0,0.0,0.31,1.93,0.0
20050103:1910,0.0,0.0,0.0,0.0,0.0,1.04,2.28,0.0
20050103:2010,0.0,0.0,0.0,0.0,0.0,0.63,2.28,0.0
20050103:2110,0.0,0.0,0.0,0.0,0.0,0.49,2.21,0.0
20050103:2210,0.0,0.0,0.0,0.0,0.0,0.14,2.07,0.0
20050103:2310,0.0,0.0,0.0,0.0,0.0,-0.18,1.93,0.0
20050104:0010,0.0,0.0,0.0,0.0,0.0,-0.09,1.72,0.0
20050104:0110,0.0,0.0,0.0,0.0,0.0,-0.52,1.59,0.0
20050104:0210,0.0,0.0,0.0,0.0,0.0,-0.88,1.38,0.0
20050104:0310,0.0,0.0,0.0,0.0,0.0,-1.28,1.45,0.0
20050104:0410,0.0,0.0,0.0,0.0,0.0,-1.73,1.72,0.0
20050104:0510,0.0,0.0,0.0,0.0,0.0,-1.15,1.93,0.0
20050104:0610,0.0,0.0,0.0,0.0,0.0,-0.86,2.34,0.0
20050104:0710,17.37,10.48,20.95,0.73,6.45,0.19,2.97,0.0
20050104:0810,7.86,0.0,18.76,0.64,13.08,0.69,3.52,0.0
20050104:0910,16.82,0.0,30.7,1.05,17.8,1.17,4.62,0.0
20050104:1010,18.12,0.0,32.4,1.11,20.19,1.78,4.07,0.0
20050104:1110,20.13,0.0,34.96,1.2,19.98,2.25,4.14,0.0
20050104:1210,19.53,0.0,34.13,1.29,17.21,2.4,3.93,0.0
20050104:1310,17.05,0.0,31.03,1.17,12.16,2.41,3.59,0.0
20050104:1410,1.07,0.0,7.76,0.29,5.27,2.31,3.31,0.0
20050104:1510,0.0,0.0,0.0,0.0,0.0,2.36,2.48,0.0
20050104:1610,0.0,0.0,0.0,0.0,0.0,2.49,2.21,0.0
20050104:1710,0.0,0.0,0.0,0.0,0.0,2.67,2.14,0.0
20050104:1810,0.0,0.0,0.0,0.0,0.0,2.78,2.21,0.0
20050104:1910,0.0,0.0,0.0,0.0,0.0,3.07,2.21,0.0
20050104:2010,0.0,0.0,0.0,0.0,0.0,3.07,2.21,0.0
20050104:2110,0.0,0.0,0.0,0.0,0.0,2.89,1.86,0.0
20050104:2210,0.0,0.0,0.0,0.0,0.0,2.61,1.66,0.0
20050104:2310,0.0,0.0,0.0,0.0,0.0,2.34,1.59,0.0
20050105:0010,0.0,0.0,0.0,0.0,0.0,1.94,1.59,0.0
20050105:0110,0.0,0.0,0.0,0.0,0.0,1.55,1.59,0.0
20050105:0210,0.0,0.0,0.0,0.0,0.0,1.2,1.59,0.0
20050105:0310,0.0,0.0,0.0,0.0,0.0,0.69,1.79,0.0
20050105:0410,0.0,0.0,0.0,0.0,0.0,0.68,2.14,0.0
20050105:0510,0.0,0.0,0.0,0.0,0.0,0.85,2.21,0.0
20050105:0610,0.0,0.0,0.0,0.0,0.0,0.51,2.34,0.0
20050105:0710,10.14,5.22,16.75,0.59,6.49,0.41,2.48,0.0
20050105:0810,30.15,0.0,46.9,1.61,13.14,1.46,2.34,0.0
20050105:0910,238.77,152.83,125.12,6.5,17.88,2.71,2.69,0.0
20050105:1010,245.57,225.82,76.39,9.52,20.29,3.68,3.24,0.0
20050105:1110,104.97,108.58,56.75,9.84,20.1,4.42,3.24,0.0
20050105:1210,78.4,0.0,101.63,3.84,17.34,4.86,3.03,0.0
20050105:1310,41.43,0.0,60.51,2.28,12.3,4.96,2.48,0.0
20050105:1410,21.22,0.0,36.46,1.38,5.41,4.03,1.79,0.0
20050105:1510,0.0,0.0,0.0,0.0,0.0,3.24,2.0,0.0
20050105:1610,0.0,0.0,0.0,0.0,0.0,2.6,1.93,0.0
20050105:1710,0.0,0.0,0.0,0.0,0.0,1.68,1.93,0.0
20050105:1810,0.0,0.0,0.0,0.0,0.0,0.95,1.93,0.0
20050105:1910,0.0,0.0,0.0,0.0,0.0,0.56,1.93,0.0
20050105:2010,0.0,0.0,0.0,0.0,0.0,-0.3,2.0,0.0
20050105:2110,0.0,0.0,0.0,0.0,0.0,-1.32,2.0,0.0
20050105:2210,0.0,0.0,0.0,0.0,0.0,-2.05,2.07,0.0
20050105:2310,0.0,0.0,0.0,0.0,0.0,-1.97,2.14,0.0
20050106:0010,0.0,0.0,0.0,0.0,0.0,-0.83,2.07,0.0
20050106:0110,0.0,0.0,0.0,0.0,0.0,1.18,2.07,0.0
20050106:0210,0.0,0.0,0.0,0.0,0.0,1.24,2.21,0.0
20050106:0310,0.0,0.0,0.0,0.0,0.0,1.45,2.28,0.0
20050106:0410,0.0,0.0,0.0,0.0,0.0,1.37,2.28,0.0
20050106:0510,0.0,0.0,0.0,0.0,0.0,1.65,2.34,0.0
20050106:0610,0.0,0.0,0.0,0.0,0.0,1.8,2.28,0.0
20050106:0710,21.78,15.61,21.58,0.76,6.53,2.1,2.34,0.0
20050106:0810,20.06,0.0,34.96,1.2,13.2,2.79,2.28,0.0
20050106:0910,19.94,0.0,34.96,1.2,17.97,3.97,2.34,0.0
20050106:1010,33.23,0.0,51.16,1.76,20.4,4.97,2.55,0.0
20050106:1110,15.13,0.0,28.99,1.0,20.23,5.36,2.41,0.0
20050106:1210,30.12,0.0,47.32,1.79,17.48,4.91,2.83,0.0
20050106:1310,16.27,0.0,30.26,1.14,12.45,4.3,3.31,0.0
20050106:1410,4.1,0.0,13.19,0.5,5.56,3.38,2.34,0.0
20050106:1510,0.0,0.0,0.0,0.0,0.0,2.99,1.93,0.0
20050106:1610,0.0,0.0,0.0,0.0,0.0,2.81,1.79,0.0
20050106:1710,0.0,0.0,0.0,0.0,0.0,2.71,1.52,0.0
20050106:1810,0.0,0.0,0.0,0.0,0.0,2.66,1.24,0.0
20050106:1910,0.0,0.0,0.0,0.0,0.0,2.9,1.03,0.0
20050106:2010,0.0,0.0,0.0,0.0,0.0,2.48,1.31,0.0
20050106:2110,0.0,0.0,0.0,0.0,0.0,2.69,1.79,0.0
20050106:2210,0.0,0.0,0.0,0.0,0.0,2.09,2.07,0.0
20050106:2310,0.0,0.0,0.0,0.0,0.0,1.89,2.28,0.0
20050107:0010,0.0,0.0,0.0,0.0,0.0,1.67,2.34,0.0
20050107:0110,0.0,0.0,0.0,0.0,0.0,1.07,2.14,0.0
20050107:0210,0.0,0.0,0.0,0.0,0.0,0.4,1.93,0.0
20050107:0310,0.0,0.0,0.0,0.0,0.0,-0.37,1.59,0.0
20050107:0410,0.0,0.0,0.0,0.0,0.0,-1.08,1.17,0.0
20050107:0510,0.0,0.0,0.0,0.0,0.0,-0.34,0.55,0.0
20050107:0610,0.0,0.0,0.0,0.0,0.0,-0.93,0.62,0.0
20050107:0710,76.08,67.32,30.43,1.11,6.58,-2.07,1.24,0.0
20050107:0810,155.19,91.44,92.22,3.66,13.28,0.16,1.1,0.0
20050107:0910,109.57,22.27,112.88,4.19,18.06,1.73,1.45,0.0
20050107:1010,68.96,0.0,91.24,3.13,20.51,3.62,1.79,0.0
20050107:1110,71.88,0.0,94.65,3.25,20.36,4.3,2.28,0.0
20050107:1210,57.35,0.0,78.35,2.96,17.63,4.46,2.41,0.0
20050107:1310,12.1,0.0,24.82,0.94,12.6,4.44,2.28,0.0
20050107:1410,21.23,0.0,36.46,1.38,5.72,4.0,2.34,0.0
20050107:1510,0.0,0.0,0.0,0.0,0.0,3.69,2.48,0.0
20050107:1610,0.0,0.0,0.0,0.0,0.0,3.48,2.62,0.0
20050107:1710,0.0,0.0,0.0,0.0,0.0,3.05,2.55,0.0
20050107:1810,0.0,0.0,0.0,0.0,0.0,2.42,2.76,0.0
20050107:1910,0.0,0.0,0.0,0.0,0.0,1.72,2.76,0.0
20050107:2010,0.0,0.0,0.0,0.0,0.0,1.61,2.83,0.0
20050107:2110,0.0,0.0,0.0,0.0,0.0,1.76,3.03,0.0
20050107:2210,0.0,0.0,0.0,0.0,0.0,1.95,3.17,0.0
20050107:2310,0.0,0.0,0.0,0.0,0.0,2.33,3.24,0.0
20050108:0010,0.0,0.0,0.0,0.0,0.0,2.47,3.24,0.0
20050108:0110,0.0,0.0,0.0,0.0,0.0,1.97,3.1,0.0
20050108:0210,0.0,0.0,0.0,0.0,0.0,1.68,2.97,0.0
20050108:0310,0.0,0.0,0.0,0.0,0.0,1.63,2.9,0.0
20050108:0410,0.0,0.0,0.0,0.0,0.0,1.48,2.83,0.0
20050108:0510,0.0,0.0,0.0,0.0,0.0,1.46,2.83,0.0
20050108:0610,0.0,0.0,0.0,0.0,0.0,1.44,2.83,0.0
20050108:0710,158.26,154.49,33.61,1.46,6.64,2.28,2.76,0.0
20050108:0810,327.51,300.28,75.87,5.13,13.35,3.91,2.48,0.0
20050108:0910,334.69,310.36,82.59,8.08,18.16,5.99,2.34,0.0
20050108:1010,250.37,237.79,74.87,9.78,20.63,7.54,2.62,0.0
20050108:1110,113.6,109.26,65.34,9.93,20.5,7.1,2.83,0.0
20050108:1210,36.26,0.0,55.08,2.08,17.78,7.52,2.83,0.0
20050108:1310,29.74,0.0,47.32,1.79,12.76,7.4,2.62,0.0
20050108:1410,19.71,0.0,34.91,1.32,5.88,6.67,2.62,0.0
20050108:1510,0.0,0.0,0.0,0.0,0.0,5.45,2.83,0.0
20050108:1610,0.0,0.0,0.0,0.0,0.0,4.67,2.97,0.0
20050108:1710,0.0,0.0,0.0,0.0,0.0,4.29,2.97,0.0
20050108:1810,0.0,0.0,0.0,0.0,0.0,3.93,2.9,0.0
20050108:1910,0.0,0.0,0.0,0.0,0.0,3.43,2.9,0.0
20050108:2010,0.0,0.0,0.0,0.0,0.0,3.56,3.1,0.0
20050108:2110,0.0,0.0,0.0,0.0,0.0,3.66,3.1,0.0
20050108:2210,0.0,0.0,0.0,0.0,0.0,3.48,2.97,0.0
20050108:2310,0.0,0.0,0.0,0.0,0.0,3.25,2.97,0.0
20050109:0010,0.0,0.0,0.0,0.0,0.0,3.07,2.83,0.0
20050109:0110,0.0,0.0,0.0,0.0,0.0,2.77,2.76,0.0
20050109:0210,0.0,0.0,0.0,0.0,0.0,2.25,2.76,0.0
20050109:0310,0.0,0.0,0.0,0.0,0.0,1.47,2.55,0.0
20050109:0410,0.0,0.0,0.0,0.0,0.0,0.57,2.55,0.0
20050109:0510,0.0,0.0,0.0,0.0,0.0,-0.41,2.48,0.0
20050109:0610,0.0,0.0,0.0,0.0,0.0,-1.13,2.41,0.0
20050109:0710,81.27,71.64,32.06,1.17,6.71,-0.75,2.21,0.0
20050109:0810,279.62,230.14,89.93,4.74,13.44,1.72,1.93,0.0
20050109:0910,336.31,314.76,81.54,8.14,18.27,6.2,1.79,0.0
20050109:1010,258.57,257.82,66.47,10.13,20.76,7.78,1.86,0.0
20050109:1110,111.7,122.0,54.68,10.31,20.65,8.47,2.14,0.0
20050109:1210,43.32,0.0,63.61,2.4,17.94,8.66,2.14,0.0
20050109:1310,44.04,0.0,64.39,2.43,12.92,8.42,2.0,0.0
20050109:1410,19.01,0.0,34.13,1.29,6.05,7.36,2.0,0.0
20050109:1510,0.0,0.0,0.0,0.0,0.0,5.83,2.21,0.0
20050109:1610,0.0,0.0,0.0,0.0,0.0,4.44,2.21,0.0
20050109:1710,0.0,0.0,0.0,0.0,0.0,3.58,2.14,0.0
20050109:1810,0.0,0.0,0.0,0.0,0.0,3.04,2.14,0.0
20050109:1910,0.0,0.0,0.0,0.0,0.0,3.02,1.93,0.0
20050109:2010,0.0,0.0,0.0,0.0,0.0,2.08,1.86,0.0
20050109:2110,0.0,0.0,0.0,0.0,0.0,1.24,1.93,0.0
20050109:2210,0.0,0.0,0.0,0.0,0.0,1.25,1.79,0.0
20050109:2310,0.0,0.0,0.0,0.0,0.0,0.86,1.86,0.0
20050110:0010,0.0,0.0,0.0,0.0,0.0,0.35,1.93,0.0
20050110:0110,0.0,0.0,0.0,0.0,0.0,0.07,1.93,0.0
20050110:0210,0.0,0.0,0.0,0.0,0.0,-0.3,2.07,0.0
20050110:0310,0.0,0.0,0.0,0.0,0.0,-0.35,2.07,0.0
20050110:0410,0.0,0.0,0.0,0.0,0.0,-0.16,2.21,0.0
20050110:0510,0.0,0.0,0.0,0.0,0.0,-0.19,2.28,0.0
20050110:0610,0.0,0.0,0.0,0.0,0.0,0.1,2.34,0.0
20050110:0710,54.89,45.73,29.5,1.05,6.78,0.59,2.41,0.0
20050110:0810,311.71,272.63,84.08,5.04,13.53,2.73,2.21,0.0
20050110:0910,316.24,268.63,101.74,7.82,18.39,5.29,1.93,0.0
20050110:1010,248.19,211.91,95.6,9.58,20.9,7.14,1.93,0.0
20050110:1110,121.65,106.72,75.55,9.96,20.8,8.1,1.79,0.0
20050110:1210,41.35,0.0,61.29,2.31,18.1,8.43,1.72,0.0
20050110:1310,35.41,0.0,54.3,2.05,13.09,8.38,1.66,0.0
20050110:1410,18.39,0.0,33.36,1.26,6.22,7.51,1.66,0.0
20050110:1510,0.0,0.0,0.0,0.0,0.0,5.66,2.14,0.0
20050110:1610,0.0,0.0,0.0,0.0,0.0,3.84,2.21,0.0
20050110:1710,0.0,0.0,0.0,0.0,0.0,2.66,2.28,0.0
20050110:1810,0.0,0.0,0.0,0.0,0.0,1.98,2.28,0.0
20050110:1910,0.0,0.0,0.0,0.0,0.0,1.27,2.28,0.0
20050110:2010,0.0,0.0,0.0,0.0,0.0,0.97,2.28,0.0
20050110:2110,0.0,0.0,0.0,0.0,0.0,0.73,2.28,0.0
20050110:2210,0.0,0.0,0.0,0.0,0.0,0.56,2.21,0.0
20050110:2310,0.0,0.0,0.0,0.0,0.0,0.32,2.21,0.0
20050111:0010,0.0,0.0,0.0,0.0,0.0,0.03,2.14,0.0
20050111:0110,0.0,0.0,0.0,0.0,0.0,-0.1,2.21,0.0
20050111:0210,0.0,0.0,0.0,0.0,0.0,-0.07,2.21,0.0
20050111:0310,0.0,0.0,0.0,0.0,0.0,-0.02,2.14,0.0
20050111:0410,0.0,0.0,0.0,0.0,0.0,-0.01,2.07,0.0
20050111:0510,0.0,0.0,0.0,0.0,0.0,-0.1,2.0,0.0
20050111:0610,0.0,0.0,0.0,0.0,0.0,-0.26,1.93,0.0
20050111:0710,130.42,120.99,35.5,1.41,6.86,-0.49,1.93,0.0
20050111:0810,335.02,307.66,75.91,5.24,13.63,1.74,1.17,0.0
20050111:0910,338.99,318.91,82.77,8.26,18.51,5.72,0.62,0.0
20050111:1010,260.7,263.56,65.66,10.25,21.04,8.1,0.41,0.0
20050111:1110,113.5,135.93,46.12,10.72,20.96,8.94,0.62,0.0
20050111:1210,34.59,0.0,53.53,2.02,18.27,9.09,0.62,0.0
20050111:1310,26.92,0.0,44.22,1.67,13.27,8.79,0.55,0.0
20050111:1410,17.11,0.0,31.81,1.2,6.4,8.01,0.41,0.0
20050111:1510,0.0,0.0,0.0,0.0,0.0,7.18,0.21,0.0
20050111:1610,0.0,0.0,0.0,0.0,0.0,6.16,0.55,0.0
20050111:1710,0.0,0.0,0.0,0.0,0.0,3.8,1.24,0.0
20050111:1810,0.0,0.0,0.0,0.0,0.0,1.62,1.79,0.0
20050111:1910,0.0,0.0,0.0,0.0,0.0,0.41,2.14,0.0
20050111:2010,0.0,0.0,0.0,0.0,0.0,-0.32,1.86,0.0
20050111:2110,0.0,0.0,0.0,0.0,0.0,-0.89,1.52,0.0
20050111:2210,0.0,0.0,0.0,0.0,0.0,-0.87,1.24,0.0
20050111:2310,0.0,0.0,0.0,0.0,0.0,-0.32,1.38,0.0
20050112:0010,0.0,0.0,0.0,0.0,0.0,-0.31,1.52,0.0
20050112:0110,0.0,0.0,0.0,0.0,0.0,-0.81,1.66,0.0
20050112:0210,0.0,0.0,0.0,0.0,0.0,-1.06,1.59,0.0
20050112:0310,0.0,0.0,0.0,0.0,0.0,-0.99,1.31,0.0
20050112:0410,0.0,0.0,0.0,0.0,0.0,-0.81,1.1,0.0
20050112:0510,0.0,0.0,0.0,0.0,0.0,-0.71,1.03,0.0
20050112:0610,0.0,0.0,0.0,0.0,0.0,-0.79,1.24,0.0
20050112:0710,35.06,24.99,27.46,0.97,6.94,-0.89,1.52,0.0
20050112:0810,63.8,14.27,70.72,2.52,13.74,1.06,0.69,0.0
20050112:0910,180.7,80.03,134.49,5.71,18.64,2.74,0.48,0.0
20050112:1010,88.37,2.8,110.23,3.87,21.19,3.79,0.62,0.0
20050112:1110,127.04,12.82,145.85,5.89,21.13,4.35,0.9,0.0
20050112:1210,46.25,0.0,65.94,2.49,18.45,4.3,0.97,0.0
20050112:1310,23.75,0.0,39.56,1.49,13.45,3.93,1.1,0.0
20050112:1410,7.69,0.0,18.62,0.7,6.58,3.14,1.31,0.0
20050112:1510,0.0,0.0,0.0,0.0,0.0,1.97,1.31,0.0
20050112:1610,0.0,0.0,0.0,0.0,0.0,1.27,1.03,0.0
20050112:1710,0.0,0.0,0.0,0.0,0.0,0.88,1.03,0.0
20050112:1810,0.0,0.0,0.0,0.0,0.0,0.45,1.1,0.0
20050112:1910,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0
20050112:2010,0.0,0.0,0.0,0.0,0.0,-0.2,0.83,0.0
20050112:2110,0.0,0.0,0.0,0.0,0.0,-0.69,0.9,0.0
20050112:2210,0.0,0.0,0.0,0.0,0.0,-0.77,0.83,0.0
20050112:2310,0.0,0.0,0.0,0.0,0.0,-1.11,0.9,0.0
20050113:0010,0.0,0.0,0.0,0.0,0.0,-1.38,0.9,0.0
20050113:0110,0.0,0.0,0.0,0.0,0.0,-1.19,0.83,0.0
20050113:0210,0.0,0.0,0.0,0.0,0.0,-1.04,0.69,0.0
20050113:0310,0.0,0.0,0.0,0.0,0.0,-1.14,0.83,0.0
20050113:0410,0.0,0.0,0.0,0.0,0.0,-1.51,0.97,0.0
20050113:0510,0.0,0.0,0.0,0.0,0.0,-1.55,0.83,0.0
20050113:0610,0.0,0.0,0.0,0.0,0.0,-1.52,0.0,0.0
20050113:0710,66.02,54.48,32.69,1.17,7.04,-1.21,0.0,0.0
20050113:0810,64.92,14.22,71.57,2.55,13.85,-0.21,0.62,0.0
20050113:0910,59.57,0.0,80.16,2.75,18.77,1.02,0.55,0.0
20050113:1010,23.57,0.0,39.23,1.35,21.35,2.19,0.48,0.0
20050113:1110,53.78,0.0,74.19,2.55,21.3,2.57,0.69,0.0
20050113:1210,33.09,0.0,50.43,1.9,18.64,2.52,1.03,0.0
20050113:1310,15.23,0.0,28.7,1.08,13.64,2.05,1.03,0.0
20050113:1410,4.14,0.0,13.19,0.5,6.77,1.58,0.76,0.0
20050113:1510,0.0,0.0,0.0,0.0,0.0,0.98,0.69,0.0
20050113:1610,0.0,0.0,0.0,0.0,0.0,0.65,1.03,0.0
20050113:1710,0.0,0.0,0.0,0.0,0.0,0.62,1.17,0.0
20050113:1810,0.0,0.0,0.0,0.0,0.0,0.62,1.24,0.0
20050113:1910,0.0,0.0,0.0,0.0,0.0,0.56,1.17,0.0
20050113:2010,0.0,0.0,0.0,0.0,0.0,0.39,1.31,0.0
20050113:2110,0.0,0.0,0.0,0.0,0.0,0.38,1.31,0.0
20050113:2210,0.0,0.0,0.0,0.0,0.0,0.38,1.38,0.0
20050113:2310,0.0,0.0,0.0,0.0,0.0,0.38,1.38,0.0
20050114:0010,0.0,0.0,0.0,0.0,0.0,0.34,1.45,0.0
20050114:0110,0.0,0.0,0.0,0.0,0.0,0.52,1.45,0.0
20050114:0210,0.0,0.0,0.0,0.0,0.0,0.34,1.38,0.0
20050114:0310,0.0,0.0,0.0,0.0,0.0,0.29,1.31,0.0
20050114:0410,0.0,0.0,0.0,0.0,0.0,0.11,1.17,0.0
20050114:0510,0.0,0.0,0.0,0.0,0.0,-0.06,1.1,0.0
20050114:0610,0.0,0.0,0.0,0.0,0.0,-0.28,0.97,0.0
20050114:0710,0.0,0.0,5.12,0.18,7.14,-0.19,0.9,0.0
20050114:0810,49.37,4.72,63.85,2.23,13.97,0.1,1.24,0.0
20050114:0910,44.41,0.0,63.1,2.17,18.92,0.6,1.24,0.0
20050114:1010,31.65,0.0,48.61,1.67,21.52,1.06,1.31,0.0
20050114:1110,18.12,0.0,32.4,1.11,21.48,1.57,1.52,0.0
20050114:1210,10.52,0.0,22.5,0.85,18.83,1.99,1.72,0.0
20050114:1310,12.27,0.0,24.82,0.94,13.83,1.92,2.07,0.0
20050114:1410,12.87,0.0,25.6,0.97,6.96,1.62,1.86,0.0
20050114:1510,0.0,0.0,0.0,0.0,0.0,1.0,1.59,0.0
20050114:1610,0.0,0.0,0.0,0.0,0.0,0.49,1.52,0.0
20050114:1710,0.0,0.0,0.0,0.0,0.0,-0.07,1.24,0.0
20050114:1810,0.0,0.0,0.0,0.0,0.0,-0.9,0.97,0.0
20050114:1910,0.0,0.0,0.0,0.0,0.0,-0.98,0.76,0.0
20050114:2010,0.0,0.0,0.0,0.0,0.0,-0.71,0.34,0.0
20050114:2110,0.0,0.0,0.0,0.0,0.0,-0.87,0.28,0.0
20050114:2210,0.0,0.0,0.0,0.0,0.0,-1.95,0.83,0.0
20050114:2310,0.0,0.0,0.0,0.0,0.0,-1.97,0.9,0.0
20050115:0010,0.0,0.0,0.0,0.0,0.0,-1.96,0.9,0.0
20050115:0110,0.0,0.0,0.0,0.0,0.0,-1.58,0.9,0.0
20050115:0210,0.0,0.0,0.0,0.0,0.0,-1.3,1.03,0.0
20050115:0310,0.0,0.0,0.0,0.0,0.0,-1.24,1.03,0.0
20050115:0410,0.0,0.0,0.0,0.0,0.0,-1.36,1.1,0.0
20050115:0510,0.0,0.0,0.0,0.0,0.0,-1.36,0.9,0.0
20050115:0610,0.0,0.0,0.0,0.0,0.0,-1.69,0.9,0.0
20050115:0710,30.33,19.41,27.48,0.97,7.24,-1.15,0.76,0.0
20050115:0810,84.26,25.87,80.78,2.93,14.1,-0.49,0.97,0.0
20050115:0910,171.52,64.98,136.22,5.56,19.07,0.28,1.31,0.0
20050115:1010,108.64,6.56,126.81,4.54,21.69,1.08,2.34,0.0
20050115:1110,39.75,0.0,57.99,1.99,21.67,1.63,2.97,0.0
20050115:1210,65.2,0.0,86.11,3.25,19.02,1.94,3.31,0.0
20050115:1310,11.7,0.0,24.05,0.91,14.03,1.8,3.38,0.0
20050115:1410,15.9,0.0,29.48,1.11,7.15,1.47,2.9,0.0
20050115:1510,0.0,0.0,0.0,0.0,0.0,0.56,2.69,0.0
20050115:1610,0.0,0.0,0.0,0.0,0.0,-0.13,2.69,0.0
20050115:1710,0.0,0.0,0.0,0.0,0.0,-0.63,2.76,0.0
20050115:1810,0.0,0.0,0.0,0.0,0.0,-1.06,2.76,0.0
